system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00056] PathFindOnPath found: C:\Windows\system32\d3d9.dll
display  I           wgl_disp.c:256  display_pixel_format             [   0.17882] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17884] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17886] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17888] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17889] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17891] Decoding visual no. 26...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17899] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17901] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17902] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17904] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17905] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17907] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17909] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17911] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17912] Score is : 1816
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.17914] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.17916] Decoding visual no. 27...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.17925] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.17929] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.17931] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.17934] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.17936] Color format: r8 g8 b8 a0, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.17940] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.17942] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.17945] Samples: 2
display  D   display_settings.c:486  _al_score_display_settings       [   0.17947] Score is : 1816
